trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.58, 'e': 1.0}",30,0,-185.8072981475605,"{0: 18, 1: 2, 2: 6, 3: 1, 4: 3}",0
2,False,"{'a': 0.5599999999999999, 'e': 0.9801986733067553}",25,16,-57.07134927581405,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 1}",1
3,False,"{'a': 0.5399999999999999, 'e': 0.9607894391523232}",20,0,-92.85000207890934,"{0: 12, 1: 0, 2: 5, 3: 3, 4: 0}",0
4,False,"{'a': 0.5199999999999999, 'e': 0.9417645335842487}",20,0,-24.88423296761878,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
5,False,"{'a': 0.4999999999999999, 'e': 0.9231163463866358}",25,0,-94.60021951167091,"{0: 15, 1: 1, 2: 7, 3: 2, 4: 0}",0
6,False,"{'a': 0.47999999999999987, 'e': 0.9048374180359595}",25,0,-211.7293953723455,"{0: 11, 1: 1, 2: 9, 3: 2, 4: 2}",0
7,False,"{'a': 0.45999999999999985, 'e': 0.8869204367171575}",20,0,-96.94832958614273,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.43999999999999984, 'e': 0.8693582353988059}",20,0,-65.93972702008762,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.4199999999999998, 'e': 0.8521437889662113}",25,2,-24.688371428879268,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 0}",1
10,False,"{'a': 0.3999999999999998, 'e': 0.835270211411272}",30,8,-145.27227680508233,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 2}",1
11,False,"{'a': 0.3799999999999998, 'e': 0.8187307530779818}",35,0,-148.96760433241403,"{0: 26, 1: 0, 2: 6, 3: 0, 4: 3}",0
12,False,"{'a': 0.35999999999999976, 'e': 0.8025187979624785}",30,0,-72.33219246408147,"{0: 24, 1: 0, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.33999999999999975, 'e': 0.7866278610665535}",30,2,-162.3280420769073,"{0: 20, 1: 2, 2: 0, 3: 3, 4: 3}",1
14,False,"{'a': 0.31999999999999973, 'e': 0.7710515858035663}",25,0,-91.06913547818161,"{0: 18, 1: 0, 2: 4, 3: 2, 4: 1}",0
15,False,"{'a': 0.2999999999999997, 'e': 0.7557837414557255}",30,0,-82.86749491056261,"{0: 25, 1: 0, 2: 3, 3: 0, 4: 2}",0
16,False,"{'a': 0.2799999999999997, 'e': 0.7408182206817179}",25,12,-24.07493925004701,"{0: 8, 1: 2, 2: 3, 3: 0, 4: 0}",1
17,False,"{'a': 0.2599999999999997, 'e': 0.7261490370736909}",25,0,-131.04119711632814,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
18,False,"{'a': 0.23999999999999969, 'e': 0.7117703227626097}",25,0,-136.7642339079124,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
19,False,"{'a': 0.2199999999999997, 'e': 0.697676326071031}",25,13,-43.49809245220623,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
20,False,"{'a': 0.1999999999999997, 'e': 0.6838614092123558}",30,0,-77.1307327525851,"{0: 22, 1: 0, 2: 7, 3: 0, 4: 1}",0
21,False,"{'a': 0.1999999999999997, 'e': 0.6703200460356393}",20,0,-44.81328971369317,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
22,False,"{'a': 0.1999999999999997, 'e': 0.6570468198150567}",20,6,-13.171149682014345,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
23,False,"{'a': 0.1999999999999997, 'e': 0.6440364210831414}",20,0,-152.75693120117947,"{0: 12, 1: 1, 2: 2, 3: 3, 4: 2}",0
24,False,"{'a': 0.1999999999999997, 'e': 0.631283645506926}",20,6,-93.02343741649797,"{0: 9, 1: 2, 2: 0, 3: 1, 4: 2}",1
25,False,"{'a': 0.1999999999999997, 'e': 0.6187833918061408}",30,9,-7.14864622083881,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 1}",1
26,False,"{'a': 0.1999999999999997, 'e': 0.6065306597126334}",25,0,7.821856216293217,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
27,False,"{'a': 0.1999999999999997, 'e': 0.5945205479701944}",30,0,-183.59782900658146,"{0: 21, 1: 0, 2: 5, 3: 0, 4: 4}",0
28,False,"{'a': 0.1999999999999997, 'e': 0.5827482523739896}",20,0,-110.08618238646399,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
29,False,"{'a': 0.1999999999999997, 'e': 0.5712090638488149}",30,0,-13.283973926186295,"{0: 25, 1: 2, 2: 2, 3: 1, 4: 0}",0
